indice_medicamento,nregistro,nombre_medicamento,tipo_imagen,url,fichero,estado,error
34,58154,ACETILCOLINA 10 MG/ML CUSÍ POLVO Y DISOLVENTE PARA SOLUCIÓN PARA INSTILACIÓN POR VÍA INTRAOCULAR,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/58154/58154_formafarmac.jpg,imagenes/acetilcolina_10_mg_ml_cusi_polvo_y_disolvente_para_solucion__58154__formafarmac__0068.jpg,descargada,
35,84468,ACICLOVIR CINFA 200 MG COMPRIMIDOS EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/84468/84468_materialas.jpg,imagenes/aciclovir_cinfa_200_mg_comprimidos_efg__84468__materialas__0069.jpg,descargada,
35,84468,ACICLOVIR CINFA 200 MG COMPRIMIDOS EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/84468/84468_formafarmac.jpg,imagenes/aciclovir_cinfa_200_mg_comprimidos_efg__84468__formafarmac__0070.jpg,descargada,
36,62478,ACICLOVIR CINFA 800 mg COMPRIMIDOS DISPERSABLES EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62478/62478_materialas.jpg,imagenes/aciclovir_cinfa_800_mg_comprimidos_dispersables_efg__62478__materialas__0071.jpg,descargada,
36,62478,ACICLOVIR CINFA 800 mg COMPRIMIDOS DISPERSABLES EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/62478/62478_formafarmac.jpg,imagenes/aciclovir_cinfa_800_mg_comprimidos_dispersables_efg__62478__formafarmac__0072.jpg,descargada,
37,85061,ACICLOVIR CINFA 800 MG COMPRIMIDOS EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/85061/85061_materialas.jpg,imagenes/aciclovir_cinfa_800_mg_comprimidos_efg__85061__materialas__0073.jpg,descargada,
37,85061,ACICLOVIR CINFA 800 MG COMPRIMIDOS EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/85061/85061_formafarmac.jpg,imagenes/aciclovir_cinfa_800_mg_comprimidos_efg__85061__formafarmac__0074.jpg,descargada,
38,62298,ACICLOVIR NORMON 200 mg COMPRIMIDOS EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62298/62298_materialas.jpg,imagenes/aciclovir_normon_200_mg_comprimidos_efg__62298__materialas__0075.jpg,descargada,
38,62298,ACICLOVIR NORMON 200 mg COMPRIMIDOS EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/62298/62298_formafarmac.jpg,imagenes/aciclovir_normon_200_mg_comprimidos_efg__62298__formafarmac__0076.jpg,descargada,
39,62127,ACICLOVIR NORMON 50 mg/g CREMA EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62127/62127_materialas.jpg,imagenes/aciclovir_normon_50_mg_g_crema_efg__62127__materialas__0077.jpg,descargada,
39,62127,ACICLOVIR NORMON 50 mg/g CREMA EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/62127/62127_formafarmac.jpg,imagenes/aciclovir_normon_50_mg_g_crema_efg__62127__formafarmac__0078.jpg,descargada,
40,62297,ACICLOVIR NORMON 800 mg COMPRIMIDOS EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62297/62297_materialas.jpg,imagenes/aciclovir_normon_800_mg_comprimidos_efg__62297__materialas__0079.jpg,descargada,
40,62297,ACICLOVIR NORMON 800 mg COMPRIMIDOS EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/62297/62297_formafarmac.jpg,imagenes/aciclovir_normon_800_mg_comprimidos_efg__62297__formafarmac__0080.jpg,descargada,
41,68296,ACICLOVIR SANDOZ CARE 50 MG/G CREMA,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/68296/68296_materialas.jpg,imagenes/aciclovir_sandoz_care_50_mg_g_crema__68296__materialas__0081.jpg,descargada,
41,68296,ACICLOVIR SANDOZ CARE 50 MG/G CREMA,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/68296/68296_formafarmac.jpg,imagenes/aciclovir_sandoz_care_50_mg_g_crema__68296__formafarmac__0082.jpg,descargada,
42,61721,ACICLOVIR STADA 200 MG COMPRIMIDOS EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/61721/61721_materialas.jpg,imagenes/aciclovir_stada_200_mg_comprimidos_efg__61721__materialas__0083.jpg,descargada,
42,61721,ACICLOVIR STADA 200 MG COMPRIMIDOS EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/61721/61721_formafarmac.jpg,imagenes/aciclovir_stada_200_mg_comprimidos_efg__61721__formafarmac__0084.jpg,descargada,
43,62751,ACICLOVIR STADA 50 MG/G CREMA,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62751/62751_materialas.jpg,imagenes/aciclovir_stada_50_mg_g_crema__62751__materialas__0085.jpg,descargada,
43,62751,ACICLOVIR STADA 50 MG/G CREMA,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/62751/62751_formafarmac.jpg,imagenes/aciclovir_stada_50_mg_g_crema__62751__formafarmac__0086.jpg,descargada,
44,61722,ACICLOVIR STADA 800 MG COMPRIMIDOS EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/61722/61722_materialas.jpg,imagenes/aciclovir_stada_800_mg_comprimidos_efg__61722__materialas__0087.jpg,descargada,
44,61722,ACICLOVIR STADA 800 MG COMPRIMIDOS EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/61722/61722_formafarmac.jpg,imagenes/aciclovir_stada_800_mg_comprimidos_efg__61722__formafarmac__0088.jpg,descargada,
45,76287,ACIDO ACETILSALICILICO CINFAMED 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/76287/76287_materialas.jpg,imagenes/acido_acetilsalicilico_cinfamed_100_mg_comprimidos_gastrorre__76287__materialas__0089.jpg,descargada,
45,76287,ACIDO ACETILSALICILICO CINFAMED 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/76287/76287_formafarmac.jpg,imagenes/acido_acetilsalicilico_cinfamed_100_mg_comprimidos_gastrorre__76287__formafarmac__0090.jpg,descargada,
